Государство или межправительственная организация;Код;Количество заявок из других стран в Россию
Казахстан;KZ;14451
Беларусь;BY;13443
Украина;UA;12296
Китай;CN;8604
Армения;AM;8309
Азербайджан;AZ;8281
Кыргызстан;KG;7961
Республика Молдова;MD;7212
Таджикистан;TJ;6613
Узбекистан;UZ;6612
Грузия;GE;6156
Латвия;LV;5719
Германия;DE;5606
Литва;LT;5481
Туркменистан;TM;5163
Эстония;EE;4660
Соединенные Штаты Америки;US;4511
Польша;PL;4102
Франция;FR;4090
Италия;IT;4026
Великобритания;GB;3615
Турция;TR;3549
Испания;ES;3444
Болгария;BG;3377
Ведомство Европейского союза по интеллектуальной собственности;EM;3372
Чехия;CZ;3333
Монголия;MN;2869
Сербия;RS;2808
Швейцария;CH;2738
Венгрия;HU;2707
Румыния;RO;2679
Ведомство Бенилюкса по интеллектуальной собственности;BX;2652
Словакия;SK;2648
Австрия;AT;2621
Вьетнам;VN;2440
Финляндия;FI;2250
Словения;SI;2197
Хорватия;HR;2191
Греция;GR;2168
Португалия;PT;2005
Корея, Республика;KR;1945
Япония;JP;1914
Швеция;SE;1865
Норвегия;NO;1766
Египет;EG;1715
Израиль;IL;1710
Кипр;CY;1693
Черногория;ME;1675
Северная Македония;MK;1661
Босния и Герцеговина;BA;1620
Дания;DK;1592
Австралия;AU;1579
Индия;IN;1495
Иран (Исламская республика);IR;1460
Сингапур;SG;1371
Ирландия;IE;1181
Алжир;DZ;1163
Марокко;MA;988
Монако;MC;913
Мексика;MX;897
Албания;AL;896
Куба;CU;868
Корейская Народно-Демократическая Республика;KP;863
Исландия;IS;838
Лихтенштейн;LI;783
Сирийская Арабская Республика;SY;676
Судан;SD;572
Сан-Марино;SM;538
Филиппины;PH;505
Кения;KE;500
Канада;CA;425
Оман;OM;423
Новая Зеландия;NZ;402
Индонезия;ID;398
Бахрейн;BH;372
Колумбия;CO;371
Либерия;LR;371
Тунис;TN;352
Мозамбик;MZ;342
Таиланд;TH;336
Свазиленд;SZ;328
Замбия;ZM;306
Сьерра-Леоне;SL;301
Намибия;NA;288
Гана;GH;283
Африканская организация интеллектуальной собственности;OA;259
Лесото;LS;258
Антигуа и Барбуда;AG;252
Бутан;BT;248
Мадагаскар;MG;237
Ботсвана;BW;218
Бонэйр, Синт-Эстатиус и Саба;BQ;200
Камбоджа;KH;196
Кюрасао;CW;193
Сен-Мартен (нидерландская часть);SX;190
Бразилия;BR;167
Сан-Томе и Принсипи;ST;158
Лаосская Народно-Демократическая Республика;LA;124
Афганистан;AF;112
Зимбабве;ZW;109
Руанда;RW;109
Гамбия;GM;86
Малайзия;MY;82
Бруней Даруссалам;BN;67
Малави;MW;41
Самоа;WS;12
Югославия;YU;4
Чехословакия;CS;1
Нидерландские Антильские острова;AN;1
