КОД;ГОСУДАРСТВО ИЛИ МЕЖПРАВИТЕЛЬСТВЕННАЯ ОРГАНИЗАЦИЯ
AD;Андорра
AE;Объединенные Арабские Эмираты
AF;Афганистан
AG;Антигуа и Барбуда
AI;Ангилья
AL;Албания
AM;Армения
AN;Нидерландские Антильские острова
AO;Ангола
AP;Африканская региональная организация интеллектуальной собственности
AR;Аргентина
AT;Австрия
AU;Австралия
AW;Аруба
AZ;Азербайджан
BA;Босния и Герцеговина
BB;Барбадос
BD;Бангладеш
BE;Бельгия
BF;Буркина Фасо
BG;Болгария
BH;Бахрейн
BI;Бурунди
BJ;Бенин
BM;Бермуды
BN;Бруней Даруссалам
BO;Боливия (Многонациональное государство)
BQ;Бонэйр, Синт-Эстатиус и Саба
BR;Бразилия
BS;Багамы
BT;Бутан
BV;Буве, о.
BW;Ботсвана
BX;Ведомство Бенилюкса по интеллектуальной собственности
BY;Беларусь
BZ;Белиз
CA;Канада
CD;Демократическая Республика Конго
CF;Центральноафриканская Республика
CG;Конго
CH;Швейцария
CI;Кот-Д'Ивуар
CK;Острова Кука
CL;Чили
CM;Камерун
CN;Китай
CO;Колумбия
CS;Чехословакия
CR;Коста Рика
CU;Куба
CV;Кабо-Верде
CW;Кюрасао
CY;Кипр
CZ;Чехия
DD;Германская Демократическая Республика
DE;Германия
DJ;Джибути
DK;Дания
DM;Доминика
DO;Доминиканская Республика
DT;Германия (Запад)
DZ;Алжир
EA;Евразийская патентная организация
EC;Эквадор
EE;Эстония
EG;Египет
EH;Западная Сахара
EM;Ведомство Европейского союза по интеллектуальной собственности
EP;Европейское патентное ведомство
ER;Эритрея
ES;Испания
ET;Эфиопия
EU;Европейский союз
FI;Финляндия
FJ;Фиджи
FK;Фолклендские (Мальвинские) Острова
FO;Фарерские Острова
FR;Франция
GA;Габон
GB;Великобритания
GC;Патентное ведомство Совета по сотрудничеству арабских государств Персидского залива
GD;Гренада
GE;Грузия
GG;Гернси
GH;Гана
GI;Гибралтар
GL;Гренландия
GM;Гамбия
GN;Гвинея
GQ;Экваториальная Гвинея
GR;Греция
GS;Южная Джорджия и Южные Сандвичевы Острова
GT;Гватемала
GW;Гвинея-Биссау
GY;Гайяна
HK;Гонконг, Китай
HN;Гондурас
HR;Хорватия
HT;Гаити
HU;Венгрия
IB;Международное бюро Всемирной организации интеллектуальной собственности
ID;Индонезия
IE;Ирландия
IL;Израиль
IM;Остров Мэн
IN;Индия
IQ;Ирак
IR;Иран (Исламская республика)
IS;Исландия
IT;Италия
JE;Джерси
JM;Ямайка
JO;Иордания
JP;Япония
KE;Кения
KG;Кыргызстан
KH;Камбоджа
KI;Кирибати
KM;Коморы
KN;Сент-Китс и Невис
KP;Корейская Народно-Демократическая Республика
KR;Корея, Республика
KW;Кувейт
KY;Кайман, Острова
KZ;Казахстан
LA;Лаосская Народно-Демократическая Республика
LB;Ливан
LC;Сент-Люсия
LI;Лихтенштейн
LK;Шри-Ланка
LR;Либерия
LS;Лесото
LT;Литва
LU;Люксембург
LV;Латвия
LY;Ливия
MA;Марокко
MC;Монако
MD;Республика Молдова
ME;Черногория
MG;Мадагаскар
MK;Северная Македония
ML;Мали
MM;Мианмар
MN;Монголия
MO;Макао, Китай
MP;Северные Марианские Острова
MR;Мавритания
MS;Монтсеррат
MT;Мальта
MU;Маврикий
MV;Мальдивы
MW;Малави
MX;Мексика
MY;Малайзия
MZ;Мозамбик
NA;Намибия
NE;Нигер
NG;Нигерия
NI;Никарагуа
NL;Нидерланды
NO;Норвегия
NP;Непал
NR;Науру
NZ;Новая Зеландия
OA;Африканская организация интеллектуальной собственности
OM;Оман
PA;Панама
PE;Перу
PG;Папуа-Новая Гвинея
PH;Филиппины
PK;Пакистан
PL;Польша
PT;Португалия
PW;Палау
PY;Парагвай
QA;Катар
QZ;Ведомство сообщества по разнообразию растений (Европейский союз)
RO;Румыния
RU;Россия
RS;Сербия
RW;Руанда
SA;Саудовская Аравия
SB;Соломоновы Острова
SC;Сейшелы
SD;Судан
SE;Швеция
SG;Сингапур
SH;Святой Елены, Вознесения и Тристана-да-Кунья, Острова
SI;Словения
SK;Словакия
SL;Сьерра-Леоне
SM;Сан-Марино
SN;Сенегал
SO;Сомали
SR;Суринам
SЫ;Южный Судан
ST;Сан-Томе и Принсипи
SU;Советский Союз
SV;Эль-Сальвадор
SX;Сен-Мартен (нидерландская часть)
SY;Сирийская Арабская Республика
SZ;Свазиленд
TC;Теркс и Кайкос, Острова
TD;Чад
TG;Того
TH;Таиланд
TJ;Таджикистан
TL;Тимор-Лесте
TM;Туркменистан
TN;Тунис
TO;Тонга
TR;Турция
TT;Тринидад и Тобаго
TV;Тувалу
TW;Тайвань, провинция Китая
TZ;Объединенная Республика Танзания
UA;Украина
UG;Уганда
US;Соединенные Штаты Америки
UY;Уругвай
UZ;Узбекистан
VA;Ватикан
VC;Сент-Винсент и Гренадины
VE;Боливарианская республика Венесуэла
VG;Британские Виргинские Острова
VN;Вьетнам
VU;Вануату
WO;Всемирная организация интеллектуальной собственности
WS;Самоа
XN;Северный патентный институт
XU;Международный союз по охране новых сортов растений (УПОВ)
XV;Вышеградский патентный институт (ВПИ)
XX;Неизвестные государства, другие административные единицы или организации
YE;Йемен
YU;Югославия
ZA;Южная Африка
ZM;Замбия
ZW;Зимбабве
